Index,Country,Year,GDP,life_satisfaction,GHI,life_expectancy,unemployment,HDI,corruption,depression,obesity,suicide,fruit_consumption,veg_consumption,birth_rate,under_five_deaths
0,Afghanistan,2016,1802.6955654849899,4.220168591,34.8,63.76300000000001,8.84099960327148,0.494,15,4.13569434555,5.5,4.7,31.01,72.26,33.981,7.1249
1,Albania,2016,11356.3413288171,4.511100769,11.9,78.194,15.220000267028801,0.782,39,2.20650676665,21.7,6.3,176.27,284.68,12.08,1.1577
2,Algeria,2016,13921.180021825501,5.340853691,8.7,76.298,10.1999998092651,0.753,34,3.64781677971,27.4,3.2,104.11,190.2,25.25,2.5779
3,Argentina,2016,18584.580004917,6.427221297999999,5.0,76.221,8.69600009918213,0.8220000000000001,36,3.66131185288,28.3,9.2,89.63,66.03,17.383,1.2439
4,Armenia,2016,8190.239288859879,4.325471878,8.7,74.64,18.0400009155273,0.7490000000000001,33,2.7473151617299996,20.2,6.6,103.14,369.65,14.568,1.367
5,Azerbaijan,2016,16001.323396720902,5.303894997,9.8,72.493,5.0,0.757,30,2.5809513275,19.9,2.6,77.08,160.46,18.061,2.7867
6,Bangladesh,2016,3319.3528046854303,4.556140900000001,27.1,71.785,4.349999904632569,0.597,26,4.13692262655,3.6,5.9,27.07,33.95,18.824,3.4407
7,Belarus,2016,16773.1935504926,5.177899361000001,5.0,74.031,0.48800000548362704,0.805,40,4.03047137215,24.5,26.2,73.61,164.19,12.077,0.3808
8,Benin,2016,2009.61832073663,4.0073575969999995,23.2,60.885,2.54399991035461,0.512,36,3.6282109311900004,9.6,9.9,45.57,63.21,37.027,9.853700000000002
9,Bosnia and Herzegovina,2016,11337.5702648861,5.180865288,5.0,76.998,25.059999465942397,0.7659999999999999,39,2.31906634146,17.9,8.8,107.34,243.13,8.477,0.6936
10,Botswana,2016,15727.167803336,3.4989366530000003,23.0,68.178,17.117000579834002,0.7120000000000001,60,3.97712751253,18.9,9.3,35.52,47.39,25.943,3.9337
11,Brazil,2016,14077.1214085544,6.374817371000001,5.0,75.23,11.609999656677198,0.758,40,3.3046428435900004,22.1,6.5,92.67,50.87,14.307,1.5934
12,Burkina Faso,2016,1642.32200318544,4.205634594,31.0,60.354,6.39099979400635,0.42,42,3.66864463695,5.6,7.7,5.36,15.6,38.92,8.692100000000002
13,Cambodia,2016,3465.1255649030604,4.461259365,21.7,68.977,0.19799999892711603,0.5760000000000001,21,3.09666111823,3.9,5.3,22.65,30.89,23.291,2.8787000000000003
14,Cameroon,2016,3346.81779272084,4.816232203999999,22.9,58.063,4.26100015640259,0.5529999999999999,26,3.7484564429100002,11.4,12.2,96.58,118.96,36.429,9.2765
15,Central African Republic,2016,642.873494030895,2.693061113,46.1,51.593,6.15999984741211,0.36200000000000004,20,4.2126227739000015,7.5,7.7,44.05,18.43,36.029,12.767200000000004
16,Chad,2016,1878.3784825832602,4.029350281,44.3,53.438,5.78499984741211,0.405,20,3.89087428453,6.1,8.8,7.53,6.46,43.201,12.6331
17,Chile,2016,22614.3936667162,6.579056262999999,5.0,79.779,6.7399997711181605,0.8420000000000001,66,4.04612425759,28.0,10.6,53.04,69.51,13.031,0.7953
18,China,2016,14400.885063056101,5.32495594,7.7,76.21,4.64900016784668,0.748,40,3.33259220113,6.2,9.7,95.98,370.82,12.233,1.1992
19,Colombia,2016,13135.0098987578,6.233715057,8.5,76.732,8.35000038146973,0.747,37,2.19409093655,22.3,7.2,179.04,48.57,15.308,1.5328
20,Congo,2016,5250.8676082497905,4.1194934839999995,26.6,63.556,10.4209995269775,0.612,20,4.0239414180200015,9.6,5.9,50.4,30.4,33.933,4.9865
21,Costa Rica,2016,15195.001412292,7.135617732999999,5.0,79.738,8.97999954223633,0.7909999999999999,58,2.90107907582,25.7,7.9,149.55,46.5,14.512,0.9853
22,Dominican Republic,2016,14120.2116371665,5.238698483,11.1,73.471,5.4899997711181605,0.733,31,2.99272979925,27.6,9.9,296.71,47.8,20.07,2.9438000000000004
23,Ecuador,2016,10424.2641539122,6.115437507999999,13.9,76.365,4.59999990463257,0.7490000000000001,31,2.9738054538900003,19.9,7.1,81.36,29.58,20.205,1.6730999999999998
24,Egypt,2016,10324.1011436186,4.556740761,13.7,71.482,12.4099998474121,0.6940000000000001,34,3.22401683643,32.0,4.0,106.64,162.09,27.677,2.1012
25,El Salvador,2016,7164.143496821791,6.139824867000001,11.2,72.64399999999998,4.42000007629395,0.679,36,3.02554347549,24.6,13.7,62.27,75.13,18.587,1.7865
26,Estonia,2016,28109.81704489,5.649675369,5.0,78.097,6.7600002288818395,0.868,70,3.86132856551,21.2,17.8,69.0,100.75,10.455,0.3054
27,Ethiopia,2016,1608.29347611692,4.297848701,33.4,65.482,5.092999935150151,0.457,34,3.8225731840800004,4.5,7.2,8.84,13.7,33.207,5.7897
28,Gabon,2016,16756.6944675998,4.831764221,12.0,65.418,19.886999130249,0.698,35,4.04853891112,15.0,7.1,128.56,33.42,32.604,5.0348000000000015
29,Georgia,2016,9276.76624499826,4.448386192,8.2,73.207,11.7600002288818,0.7759999999999999,57,2.79402974554,21.7,8.2,42.01,54.55,13.925,1.1171
30,Ghana,2016,3982.7694670734795,4.514411449,13.9,63.124,2.25999999046326,0.588,43,3.3880930924299997,10.9,5.4,181.67,29.99,30.28,5.5217
31,Guatemala,2016,7368.610321778149,6.358916282999999,20.7,73.541,2.82999992370605,0.649,28,3.2316139263099997,21.2,2.7,63.38,51.36,25.267,2.7954000000000003
32,Guinea,2016,1894.4412990556198,3.6028547289999997,28.1,60.17,4.51000022888184,0.449,27,3.5553684224900004,7.7,6.3,91.77,50.24,37.171,8.657700000000002
33,Haiti,2016,1654.17053675815,3.3523001669999997,36.9,62.896,14.001999855041499,0.496,20,2.9594887832700003,22.7,11.7,104.55,18.25,25.162,8.429
34,Honduras,2016,4406.77353237576,5.648154736,13.2,74.70100000000002,4.67000007629395,0.614,30,2.7495702338,21.4,2.9,63.72,22.59,22.13,2.2398
35,India,2016,6095.722795903361,4.179177284,28.5,68.89699999999999,3.5050001144409197,0.636,40,3.5208053626599995,3.9,16.3,56.76,76.86,18.332,4.181800000000001
36,Indonesia,2016,10766.3714478177,5.136325359,21.9,71.035,4.11999988555908,0.691,37,2.63309107655,6.9,3.4,59.64,42.27,18.79,2.6208000000000005
